Num,Pod Color,Name,Short Description,Episode
168,,Redped,"Designed to make everything red, and play loud music.",Leroy & Stitch
169,,Rolo,Designed to be a living ball that rolls anywhere nonstop.,Leroy & Stitch
170,,Daze,Designed to cause blizzards.,Leroy & Stitch
171,Red,Rich,"Seen in pod form in Stitch! The Movie. Designed to give you counterfeit money. He works with 172 and 173. When Jumba was making 171 the embryo split into 3 so he only has 2 of the 6 powers he was supposed to intelligence and strength. He is good, but he is weak-willed and is usually bullied into being evil by 172.",Stitch! The
172,Yellow,Ditch,Seen in pod form in Stitch! The Movie. Designed to dig ditches in the most inconvenient places. He works with 171 and 173. When Jumba was making 171 the embryo split into 3 so he only has 2 of the 6 powers he was supposed to speed and sharp claws.,Stitch! The Movie
173,Green,Mitch,Seen in pod form in Stitch! The Movie. Designed to be the leader. She works with 171 and 172. When Jumba was making 171 the embryo split into 3 so she only has 2 of the 6 powers she was supposed to flight and a lethal sting. She is neutral but tens to choose evil because of her brother 172.,Stitch! The Movie
174,,Nopost,Designed to steal mail.,Leroy & Stitch
175,,Kite,Designed to fly like a kite with you on his back and drop you in jail.,Leroy & Stitch
176,Yellow,Allsox,"Seen in pod form in Stitch! The Movie. Designed to do the opposite of what Nosox (204) does. Instead of stealing socks, he helps people to find their missing socks.",Stitch! The Movie
177,Yellow,Clip,"A small yellow hairball-like experiment with a pink bow, dark blue eyes, and long scissor-like claws. Designed to eat Uburnium (an efficient, cheap, and abundant fuel used in outer space) in order to create a fuel crisis. However, in Jumba's native language, the word ""Uburnium"" closely resembles the word for ""hair"", so she eats hair instead of Uburnium (in fact, Jumba had more before her creation). As 177 eats more hair, she grows larger and larger, to where she can only be tamed by shampoo and hair conditioning products. Her one true place is cutting hair at the beauty salon.","112, Leroy & Stitch"
178,,Barkleigh,Designed to bark loudly through his megaphone mouth when he hears a noise.,Leroy & Stitch
179,Yellow,Bumper,Seen in pod form in Stitch! The Movie. Designed to bump things over.,Stitch! The Movie
180,,Boggle,Designed to confuse or mystify experienced physicists alike.,Leroy & Stitch
181,,Roberts,Designed to crank up the TV to its maximum volume.,Leroy & Stitch
182,,Ollie,Designed to be a living radio and annoy people by playing a music when he sees a person sleeping.,Leroy & Stitch
183,,Detour,Designed to give you good directions when you aren't lost.,Leroy & Stitch
184,,NPH,Designed to give you a “Normal Pressure Hydrocephalus”.,Leroy & Stitch
185,,Splutter,Designed to have various gas-emitting stud-like orifices surrounding its body.,Leroy & Stitch
186,,Laakso,Designed to make things salty and can swim very well.,Leroy & Stitch
187,,Cal,Designed to perform work such as carrying objects on his back.,Leroy & Stitch
188,,Forward,Designed to fast forward the show you’re watching until it ends.,Leroy & Stitch
189,,Hotcold,Designed to switch the hot and cold valves on sink faucets.,Leroy & Stitch
190,,Florrie,Designed to destroy flower vases.,Leroy & Stitch
191,,Roxy,Designed to make trash and litter appear everywhere.,Leroy & Stitch
192,,Breakup,Designed to break up things.,Leroy & Stitch
193,,Will,Designed to throw water balls.,Leroy & Stitch
194,,Trax,Designed to be the guard for Jumba’s lab.,Leroy & Stitch
195,,Whoooa!,Designed to be so much fun you never get any work done.,Leroy & Stitch
196,Green,Escalater,Seen in pod form in Stitch! The Movie. Designed to used his scales on his back as an escalator.,Stitch! The Movie
197,,Pretzel,Designed to eat all the chocolate 052 made.,Leroy & Stitch
198,,Carat,Designed to put lots of rats inside your car.,Leroy & Stitch
199,Red,Nosy,"A red pig-like experiment with a pink stomach from the chin down, a roundly built body with thick legs, huge arms with three small fingers on each hand, a wide mouth, a very big nose, little black eyes, little rabbit-like ears, black markings on his back and black stripes on the front of his legs. Seen in pod form in Stitch! The Movie. Designed to snoop out enemy secrets but ends up finding out mostly useless gossip. Also, Jumba programmed 199 to be an expert escape artist. He was later caught by Gantu, who thought that 199 would tell him all of Lilo and Stitch's files. Instead, he only talked about useless information and revealed secrets about Gantu to 625. Woops (600) ""accidentally"" broke Nosy's capsule on Gantu's ship, freeing him. He is voiced by Bobcat Goldthwait.","128, 224,226, Leroy and Stitch, Stitch! The Movie"
200,,Adam,"Designed to be very simple, and not do much except when seduced by 372.",Leroy & Stitch
201,White,Geigenstein,This experiment was one of the pods in Mrs. Hasagawa's dish that was not activated. Designed to eat books.,220
202,Red,Jam,"A purple bat/lizard-like experiment with four arms, a lion-like tail, large wings on his shoulders and a Stitch-like face. Designed to jam radars with his high-pitched screech. Activated at the end of Stitch! The Movie.",Stitch! The Movie
203,Green,Snipe,Seen in pod form in Stitch! The Movie. Designed to hunt people. ,Stitch! The
204,Green,Nosox,"A blue experiment shaped like a four-legged washing machine. Designed to make socks disappear. 204 was among the 12 new pods Lilo and Stitch brought home. Nosox was one of the experiments rescued in ""Snafu"", because Gantu caught him around ""Amnesio"".","137, 226,Leroy and Stitch"
205,Yellow,Cheney,"Seen in pod form in ""Skip"". Designed to to zap a person then zap a house, planet, etc. and make the person own it.",206
206,,Maggie,Designed to use her different kinds of guard-like disguises to brake into stores and let robbers in.,Leroy & Stitch
207,,Barcode,Designed to reveal your pin codes by writing on walls.,Leroy & Stitch
208,,Hoax,Designed to collect atmospheric data.,Leroy & Stitch
209,,Smoot,Designed to be so cute that anyone who sees him will do whatever he says.,Leroy & Stitch
210,Blue,Retro,"A small orange dinosaur-like experiment with a purple nose, tiny gold-tipped ears, gold markings on his back and spots around his eyes and a thick, short tail and legs. Designed to turn enemy weapons and technology into their most primitive state by wrapping his tongue around the object, rendering the object useless as he lets go. This process also works on people and other items, and it can be reversed by spanking 210's bottom three times while his tongue is wrapped around the de-evolved person or thing. His one true place is making dinosaurs for a prehistoric zoo, by devolving fossils.","214, 224, Leroy and Stitch"
211,,Jangle,Designed to turn things and humans into monkeys.,Leroy & Stitch
212,,2-Late,Designed to make you 2 hours late.,Leroy & Stitch
213,,UHF,Designed to speak at an Ultra High Frequency.,Leroy & Stitch
214,Green,Pix,"A blue camera-like experiment with arms with three legs similar to a tripod. Designed to take only bad pictures of people. He takes the pictures with his ""nose"" and develops the pictures like a Polaroid camera with the pictures coming out of his mouth. His one true place is with Mrs. Hasagawa as one of her ""cats.""","220, Leroy & Stitch"
215,,Crammer,Designed to cram everything together.,Leroy & Stitch
216,,Key,Designed to open any lock with his key-like tail.,Leroy & Stitch
217,,Rat,Designed to rat.,Leroy & Stitch
218,,Target,Designed to be a moving target for war games but is too big and not challenging enough.,Leroy & Stitch
219,,Missy,Designed to plug the holes in air filters crucial to all H-drives but is too small.,Leroy & Stitch
220,Green,Millie,"A giant green millipede-like experiment with a koala-like face, a wide mouth, a big blue nose, black eyes, Nosy-like ears and ten short tentacle limbs. Seen in pod form in ""Drowsy"". Designed to plug the holes in air filters crucial to all H-drives.","137,Leroy & Stitch"
221,Green,Sparky,"A small light yellow Chinese dragon/Monkey/Gecko-like creature with skinny arms, legs, and body, a slightly twisted yet pointed tail, a large head with a wide mouth, a round nose, dark blue eyes and long antennae that can create crippling electric surges. His body can turn into an electrical current, so he can also fly or travel through outlets, power lines, and machines. He was the first experiment that Lilo and Stitch met and rehabilitated, first appearing in Stitch! The Movie. His one true place is powering the old lighthouse that had been abandoned for requiring too much electricity, though he offers Stitch aid. He is voiced by Frank Welker in the series. Sparky also appears as a boss in the PSP game Kingdom Hearts Birth by Sleep, fighting Terra within Gantu's ship.","Stitch! The Movie, Leroy and Stitch, many episodes"
222,Green,Poxy,"A tiny pale green-grey single-celled experiment with pink-purple spots and four white grey-tipped antennae. Designed to transmit disease to popular planetary leaders and disable them. The symptoms are purple pimples, smelly feet, a swollen eye, and uncontrollable burping. When he turns to good, he could cure health problems. Ends up with (actually in) Gantu, until he was rescued in ""Snafu"" and later uses his powers to cure people according to a game in the DVD for Lilo & Stitch 2: Stitch Has a Glitch. He is voiced by Frank Welker.","101, 226, Stitch! The Movie, Leroy and Stitch"
223,Green,Glitch,"A bright green experiment with a round torso, pudgy arms and legs, a large round head with little mouth, round nose, dark green eyes, a small arrow-shaped mark above his face (In his episode, his marking was originally V-shaped) and two thin antennae that resembles a cross between Morpholomew (316) and Poxy (222). Designed to turn technology against its user by entering machines and making them malfunction, operating like a computer virus. Lilo tricked him into being downloaded into her video game. He was released as of Leroy and Stitch to help fight the Leroy clones. His one true place is Lilo's video game, rendering the games harder.","224, Leroy and Stitch"
224,,Tweak,Designed to reset important valves and dials to “maximum chaos.”,Leroy & Stitch
225,Green,Mashy,"A light blue dinosaur-like experiment, with a huge mouth, with tiny horns above each nostril, 2 large ears, and a large body. Designed to crush orbs of precious Uburnium in his mouth, which Clip (177) was originally made to do, due to an error on Jumba's part, Uburnium being close to the word for hair on his planet.",Leroy & Stitch
226,,Combo,Designed to make your food a combo.,Leroy & Stitch
227,Green,Butter,"A large tan mammoth-like creature with two tiny little antennae, a big round green nose instead of trunk, green markings on his back, legs at the middle of his torso with external toes, a big hump near his face, and tusks as large as the entire front of his body. Seen in pod form in Stitch! The Movie. Designed to batter through even the thickest doors.","Stitch! The Movie, Leroy and Stitch"
228,Green,Melty,"A small red dragon-like experiment with small bat-like wings, a reptilian head with thin pointed ears, black eyes and a thin body. Designed to melt enemy fortresses, weapons, and transportation, among other things, with the bright blue blasts from his mouth. His one true place is burning metal at the recycling plant. He is voiced by Tress MacNeille.","134, Leroy and Stitch"
229,Yellow,Kingpin,An unlucky experiment that looks like a yellow bowling pin with rabbit ears. Seen in pod form in Stitch! The Movie. Designed as a target for military war games.,"Leroy & Stitch, Stitch! The Movie"
230,,Checkup,"Designed to launch checkup attacks on unsuspecting people by annoying them with checkups checking heart beat, checking ears, checking for sore throats.",Leroy & Stitch
231,Blue,Sprok,Seen in pod form in Lilo & Stitch 2: Stitch Has a Glitch special feature the experiment profiler. Designed to spit up slime.,Lilo & Stitch 2: Stitch Has a Glitch
232,Green,Poser,Seen in pod form in Stitch! The Movie. Designed to be a flashlight.,Stitch! The Movie
233,,Pitch,Designed to catch incoming projectiles and through them back.,Leroy & Stitch
234,Green,Shush,"A pink weasel-like experiment with large ears and a speaker at the end of her tail. Designed to eavesdrop on private enemy conversations. To stop her from eavesdropping, someone has to pat her on the head. Her one true place is with Cobra Bubbles as a CIA operative.","222,Leroy and Stitch"
235,Yellow,Docker,This experiment was one of the pods in Mrs. Hasagawa's dish that was not activated. Designed to turn houses into boat docks.,220
236,Green,Charger,"Seen in pod form in ""Drowsy"". Designed to have his body fold up into his head and then launch over high walls by Sproing (249). Then destroy everything inside.","137, Leroy & Stitch"
237,Yellow,Blip,Seen in pod form in Stitch! The Movie. Designed to create blip-enhancement field for all ships around him.,Stitch! The Movie
238,Red,Bworp,"Seen in pod form in Stitch Speed Chase on the Disney Site. Designed to say ""bworp"" when he dunks you in water.",Stitch Speed Chase
239,,Clickster,"This experiment is mentioned in ""Drowsy"" when Pleakley said, ""experiment 239 designed to cause traffic jams"" However he does not cause traffic jams, he was mistaken for Stogo, experiment 102. Designed to click with her hands.","137,Leroy & Stitch"
240,,Sap,Designed to to leave a sticky sap-like residue from his feet when he walks.,Leroy & Stitch
241,,Press-5,Designed to leave you on hold forever.,Leroy & Stitch
242,,Brownout,Designed to disable power grids and electrical generators by consuming their energy.,Leroy & Stitch
243,,Pane,Designed to to write jokes. His partner is 244.,Leroy & Stitch
244,,Bore,Designed to tell jokes. His partner is 243.,Leroy & Stitch
245,,Sournote,Designed to sing a single note that is so bad everyone could go deaf just from hearing it.,Leroy & Stitch
246,,Creamer,Designed to put cream on sandwiches.,Leroy & Stitch
247,,Poggers,Designed to put Pogs in the chat,Leroy & Stitch
248,Green,Belle,"A small blue experiment with a forkpitch-shaped head with an upside-down arrow-shaped mark on her forehead, a small body, thin arms and a small lion-like tail and that looks like a cross between Holio and Heat. Designed to scare people with a loud high-pitched shriek. Her one true place is Nani's alarm clock. She is voiced by Tara Stong.","216, Leroy & Stitch"
249,Green,Sproing,"A dark blue and white roughly koala-like experiment with a spring-like body, a wide mouth, round nose, dark eyes, two little ears and little antennae. Seen in pod form in ""Drowsy"". Designed to launch boulders. Her one true place is helping people reach high places.","137,Leroy & Stitch"
250,,Lacrosse,Designed to be an expert at lacrosse.,Leroy & Stitch
251,Green,Link,"A small yellow Grundo-like experiment with red eyes and long antennae that shoot a sticky substance that will only dissolve in mud. Designed to bind together incompatible individuals, usually by the hand or wrist. His one true place is helping arguing couples bungee jump.",212
252,,Crete,Designed to encase people and objects in stone.,Leroy & Stitch
253,,Uncrete,Designed to undo the ability of 252.,Leroy & Stitch
254,Purple,Mr. Stenchy,"An irresistibly cute pink experiment with a big head with big blue eyes, puffy antennae and a small hair and a small body. Designed to trick his enemies into taking him into their homes. Once there, Mr. Stenchy lets out a noxious odor, released 42 hours after activation. Mr. Stenchy's one true place on Pleakley's home planet, where his stench is considered a rare and valuable perfume. Somehow he ended up back on Earth in Leroy & Stitch, stench-free, suggesting he can either control the smell or it wears off after a while. He is voiced by Frank Welker.","107, Leroy and Stitch"
255,Green,Mrs. Sickly,"Mrs. Sickly is a light Green Mr. Stenchy (254)-like experiment with golden hair, puffier antennae and smaller hair. Designed to make you sick with her obnoxious fumes. Mrs. Sickly’s one true place is with Mr. Stenchy as his wife, where her fumes are considered a rare and valuable perfume.",Stitch!
256,,Addy,Designed to make your nose extremely runny.,Leroy & Stitch
257,,Rattat,Designed to turn you into a dog.,Leroy & Stitch
258,White,Sample,"A bright orange koala-like experiment with a wide mouth, a big round nose which functions as a microphone, black pupil-less eyes, and big round ears resembling speakers. Designed to annoy enemies by looping random sounds with his mouth or his ears and can also climb walls. His one true place is providing backbeats for an originally rhythm-less musical group. He was in the rescue mission for ""Snafu.""","138, 226,"
259,,Rash,Designed to give you a perfect rash if you touch him.,Leroy & Stitch
260,,GPS,Designed to be Jumba’s personal Global Positioning Satellite.,Leroy & Stitch
261,,B. V. Beaverton,Designed to cut down trees with its chainsaw-like tail.,Leroy & Stitch
262,Yellow,Ace,"A bright red, roughly koala/dragon/superhero-like experiment with a muscular body, yellow chest and stomach, white gloves-style front paws, a wide mouth, a blue nose, dark eyes, pointed ears and small antennae as well as four arms, super strength, warm ice-melting breath, and dazzling teeth. He has one fatal error: he has no evil function and is a failed experiment that is pure good. To top it off, he is the only experiment programmed not to cause trouble or mayhem unlike his other ""cousins"" initially were. When Jumba was about to have his membership revoked from E.G.O. (Evil Genius Organization), Lilo and Stitch tried to trick the head of E.G.O. into thinking that Jumba was still evil. The plan worked until a screen of Ace rescuing a cat from a house on fire was seen. His one true place is balancing out Jumba's evil and acting as a local do-gooder. His experiment number - 262- is the ""opposite"" of 626 - Stitch's number; Ace is good, and Stitch had been evil. He is also polar opposites with 627. He is voiced by Jeff Bennett.","220, Leroy and Stitch"
263,,SFS,"Designed to have ""smart file system"".",Leroy & Stitch
264,,Poach,Designed to hunt rare animals.,Leroy & Stitch
265,,Wip,Designed to whip you hard with her lasso-like snake tail.,Leroy & Stitch
266,,10x,Designed to multiply himself by 10.,Leroy & Stitch
267,Green,Wishy-Washy,"A lavender-bluish teddy bear-like experiment with fairy-like wings that enable him to fly. He also has a ""wand"" on his head that lights up every time a wish is granted, and is also good for throwing an unsuspecting opponent, like Stitch. Designed to be a wish giver that grants any wish he hears, but the wishes are granted literally and may not turn out quite as expected. In addition to rejecting wishes for more wishes, he also has a wish limit, indicated by a small meter on his stomach which starts out completely red. As wishes are granted, the meter slowly goes down. When white, all the wishes are gone, and 267 is deemed useless.","221, Leroy and Stitch"
268,,Celsenheit,Designed to mess-up thermometers.,Leroy & Stitch
269,,Gyrotta,Designed to follow her enemy to its secret hiding place.,Leroy & Stitch
270,,Gillmore,"Designed to designed to be the back-up of 269 but has a glitch, instead being back-up he is now in love with 269",Leroy & Stitch
271,,Noso,"Designed to say ""so""? After you say ""no"".",Leroy & Stitch
272,Green,Wormhole,"A purple and cyan caterpillar-like experiment with black eyes, two dark purple-tipped antennae, four dark purple-tipped legs and blue mouth inside. Designed to create a wormhole to parallel universes, by folding himself together and then spinning.",Stitch!
273,,Boxboom,"Designed to be a pro boxer and box you all over the place, making you sore and have broken bones.",Leroy & Stitch
274,Green,Alexander,"Designed to make lots of long distance telephone calls. He makes calls on your phone to run up the cost on your phone bill. One of the 12 new pods found by Lilo & Stitch. His name is obviously taken from Alexander Graham Bell, the inventor of the telephone.","137, Leroy and Stitch"
275,White,Tickle-Tummy,"A round, pink experiment with rabbit-like ears, no legs, a clownish face, two hands with long fingers and a large patterned torso, which she uses to jump really high. Designed to tickle people. She was caught by Gantu and rescued in ""Snafu"".",226
276,Green,Remmy,"A blue experiment with a huge head that resembles a Pac-Man ghost. Designed to enter a sleeping person's head and turn dreams into nightmares. If the person wakes up while he is still inside, 276 will remain there permanently to turn all future dreams into nightmares. Also, 276 was designed to attack at peak of the subconscious enjoyment. His one true place is making virtual reality games. His name is in reference to the REM stage of sleep, in which dreams occur. He is voiced by Rob Paulsen.","215, Leroy & Stitch"
277,Red,Snooty,"A light purple bat-like experiment with a furless, triangle-like body, little legs, two fingers and a thumb on each of his wings, hardly any neck, fanged wide mouth, two little nostrils, pointed ears and black eyes. Designed to find and enrich ""Snootonium,"" a rare element that becomes extremely dangerous once enriched. Snootonium has a similar chemical makeup as that of mucus on Earth. To help clear her sinuses, Lilo's friend Victoria decides to keep Snooty as a pet, as his one true place.","213, Leroy & Stitch"
278,,Pasthole,Designed to be a living black hole that sucks you up and takes you to the past.,Leroy & Stitch
279,Yellow,Futurehole,Seen in pod form in Lilo & Stitch 2: Stitch Has a Glitch special feature the experiment profiler. Designed to be a living black hole that sucks you up and takes you to the future.,Lilo & Stitch 2: Stitch Has a Glitch
280,,Benedict Arnold,"Designed to find out the enemy’s plans for you, but has a glitch and tells the enemy your plan.",Leroy & Stitch
281,,Ray,Designed to zap you with his ray.,Leroy & Stitch
282,,Click,Designed to click a lot.,Leroy & Stitch
283,,Quarklifter,Designed to be as strong as 626.,Leroy & Stitch
284,,Pixel,Designed to steal the pictures 214 takes.,Leroy & Stitch
285,Green,Lax,"A purple parrot-like experiment with a small antenna, a beak and tail feathers. Designed to fire a green ray from his antenna that will cause anything it hits to stop working, and can also climb walls. A person hit with 285's ray will relax, and even a machine hit with the ray will shut down. The ray can be blocked or bounced off reflective surfaces. However, the ray wears off in time. His one true place is at the airport, making grouchy business people enjoy their vacation.",Leroy & Stitch
286,Red,Gellasifier,Seen in pod form in Lilo & Stitch 2: Stitch Has a Glitch special feature the experiment profiler. Designed to be a plant eater.,Lilo & Stitch 2: Stitch Has a Glitch
287,Green,Burl,Seen in pod form in Stitch! The Movie. Designed to to undo the work of 141.,Stitch! The Movie
288,Yellow,Boomer,"A small white and brown experiment with a curved head and lightweight body. Designed to be a living boomerang. His one true place is with Mrs. Hasagawa as one of her ""cats.""","220, Leroy & Stitch"
289,Red,Stringulator,Seen in pod form in Lilo & Stitch 2: Stitch Has a Glitch special feature the experiment profiler. Designed to make bad sounds using his guitar-like body.,Lilo & Stitch 2: Stitch Has a Glitch
290,,U-port,Designed to lie about delays. For example. If there are no delays 290 will say there are delays. And if there are delays 290 will say that there are no delays.,Leroy & Stitch
291,,Catalyst,Designed to turn things into cats.,Leroy & Stitch
292,,Whatsamattafoyou,Designed to make you talk like a gangster.,Leroy & Stitch
293,,Vacuum,Designed to clean floors and suck crumbs.,Leroy & Stitch
294,,Poppapoppup,Designed to keep you up all night by playing drums.,Leroy & Stitch
295,,Spineless,Designed to make you lose your spine.,Leroy & Stitch
296,Green,Crash,"Seen in pod form in Stitch Speed Chase on the Disney Site. Designed to cause car crashes, enter unattended vehicles, steal them and take them for joyrides ending in accidents.",Stitch Speed Chase
297,Green,Shortstuff,"A red-orange crab-like experiment with four claws, four legs, dark blue eyes and two antennae on his head, able to swivel at the waist more than 360°. Designed to destroy machinery by going inside and cutting the mechanism and electrical wiring. His size was greatly increased by accident, thanks to Jumba's growth ray. His one true place is as an amusement park ride. He is voiced by Nancy Cartwright.",133
298,,Cat,Designed to be a pet.,Leroy & Stitch
299,,Dimensionator,Designed to warp entire cities into different dimensions.,Leroy & Stitch
300,Green,Spooky,"A green blob-like experiment with olive green eyes, a wide mouth and three round, short, stubby spikes on his back, greatly resembling the other Disney (and Halloween based) character Oogie Boogie. Designed to scare people by morphing/shapeshifting into their worst horrifying fears. Appears during Halloween. His one true place is as a greeter for trick-or-treaters during Halloween, and at an old house believed to be haunted during the rest of the year.","102, 109, 207, Leroy and Stitch"
301,,Progno,Designed to make things fail.,Leroy & Stitch
302,,Noidster,Designed to produce a soothing glow and make everything go quiet.,Leroy & Stitch
303,Yellow,Amnesio,"A small blue beetle-like creature with a round body, two thick arms, two thick legs, a purple mark on his stomach, two large wings on his back, a round face with large black eyes, a little mouth, and two antennae. Designed to erase people's memory by zapping a red laser vision in their eyes. Seen in pod form in Stitch! The Movie. The password ""ohana"" must be spoken to reverse its effects. (How Jumba knew this word, which is Hawaiian, and why he chose that particular word before he came to Earth are unknown.) 303 was given to Dr. Hämsterviel, who promptly lost his memory. He was rescued in ""Snafu."" He is voiced by Tress MacNeille.","118, 226, Leroy and Stitch, Stitch! The Movie"
304,,Drag,Designed to split a person in two opposing directions.,Leroy & Stitch
305,,Spunky,Designed to be 066's assistant.,Leroy & Stitch
306,,Roadrage,Designed to give you horrible road rage.,Leroy & Stitch
307,,Anna Stesia,Designed to sing a song and play a record.,Leroy & Stitch
308,,Jenny,Designed to make things that don’t work.,Leroy & Stitch
309,,Smiler,Designed to make you smile.,Leroy & Stitch
310,,Fritzabrain,Designed to make your brain fritz out.,Leroy & Stitch
311,Yellow,Yellowstone,Seen in pod form in Stitch! The Movie. Designed to turn everything into a vulgar shade of yellow.,Stitch! The Movie
312,,Ben,"Designed to get inside the filters of a space ship hyper-drive and clog them, causing severe complication for the pilots.",Leroy & Stitch
313,Red,Thinktank,"Seen in pod form in Stitch! The Movie. Designed to eat metal. The more metal he eats, the smarter he'll get.",Stitch! The Movie
314,,Jones,Designed to make 308’s things work.,Leroy & Stitch
315,Green,Chum,Seen in pod form in Stitch! The Movie. Designed to make people ugly.,Stitch! The Movie
316,Yellow,Morpholomew,"A small red blob-like experiment with two arms, two legs, a thin mouth and dark eyes that loves chicken legs (called by Jumba ""over-sized Earth-fowl legs""). Designed to morph organisms into any other organism, after seeing the target organism or a photo of the target organism at least once before. However, someone who has been morphed keeps the same voice and needs 316 to change back. His one true place is at a costume store. Jake Long was also mistaken for this experiment, when he was in his Dragon form.","316, Leroy & Stitch"
317,,Hyuckster,"Designed to reply you with the word ""Yuck!!!"" He only says it if he hears somebody asking a question.",Leroy & Stitch
318,,Chortle,Designed to chortle.,Leroy & Stitch
319,Yellow,Spike,"A large dark blue porcupine-like experiment, with huge white-tipped spines on his tail, back, front legs and head, a red nose, large black eyes, black claws and a long tail that he can throw like darts. Seen in pod form in Stitch! The Movie. Designed to make 99% of the population silly and useless by pricking them with his spines, leaving only 1% of the population clever (which Jumba used to explain why he never got hurt by one of the quills of Spike). When Lilo discovers Mertle cheating in a contest by getting the answers from Teresa, she uses 319 on Teresa to have her give Mertle completely silly answers. His one true place is hugging and thus taming truant experiments at Pleakley's E.A.R.W.A.X. group, after he is given protective armor to cover his silliness-inducing spines.","201, Leroy and Stitch, Stitch! The Movie"
320,,Cloudy,"A grey cloud-like experiment. Designed to depress others with constant rain. His one true place is raining on Mrs. Hasagawa's fruit, thus keeping them fresh longer.",Leroy & Stitch
321,,Lightfoot,A diversionary experiment that distracts the enemy with his entertaining tap dance.,Leroy & Stitch
322,Red,Heckler,"An orange experiment that resembles 625 and 627, with short pointed ears, small beady eyes, large fangs, a shirt and bowtie imprint on his body. Designed to verbally insult people by appearance and personality. His insults can be defused by accepting that they are true. His one true place is sitting over a dunk tank where he provokes people to try and dunk him. He is voiced by Will Sasso.",218
323,Purple,Hunkahunka,"A pink/purple hummingbird-like experiment. Designed to peck people, making them artificially fall in love with the first person they see. The effect is reversed by being sprayed with water. Named after a lyric in the Elvis song ""Burnin' Love,"" Lilo refers to him as a ""Hunkahunka bird of love."" 323 was given to Dr Hämsterviel, who fell in love with Gantu. Despite being in love with Gantu, Hämsterviel still insulted him like he would on a regular basis. Was rescued in ""Snafu"".","121, 226, Leroy & Stitch"
324,,Ruinit,Designed to ruin everything and sabotage precious electrical devices and when in danger he could even return to pod form (by accident or with a conscience in pod form) before reactivating again if he senses water nearby.,Leroy & Stitch
325,,Rack,Designed to destroy fishing lines and nets.,Leroy & Stitch
326,,Pannix,Designed to make you panic over anything.,Leroy & Stitch
327,,Molar,Designed to turn you into an ogre.,Leroy & Stitch
328,,Bugle,Designed to distract the enemy by playing the bagpipes.,Leroy & Stitch
329,,Ava,Designed to do the opposite of 567.,Leroy & Stitch
330,,Serum,Designed to give you love potion #9.,Leroy & Stitch
331,,Shagdog,Designed to turn you into a shaggy dog.,Leroy & Stitch
332,,Cackle,Designed to make you cackle.,Leroy & Stitch
333,,Hairy,Designed to cut your hair very short.,Leroy & Stitch
334,,Miranda,Designed to make you split your good from your bad so there are two versions of you but in doing so splits itself as well.,Leroy & Stitch
335,,Popquiz,Designed to annoy people by asking them very hard questions.,Leroy & Stitch
336,,Blooz,Designed to make you look and feel blue.,Leroy & Stitch
337,,Guilttrip,"Designed to make you feel so guilty, you confess everything bad you’ve ever done.",Leroy & Stitch
338,,Crow,Designed to eat up all crops in local areas.,Leroy & Stitch
339,,Crowsfoot,Designed to bring good luck to aliens (foreign people).,Leroy & Stitch
340,Green,Nodessertro,"Seen in pod form in Stitch! The Movie. Designed to cause mass depression by stealing puddings, cakes, pies, and other sweets. His name is often forgotten, and so he is called ""Whatsisname"".","118,226, and Leroy & Stitch, Stitch! The Movie"
341,,Wafty,Designed to transport anyone to other places in a second.,Leroy & Stitch
342,,Greensleeves,Designed to revert objects to their Middle Age equivalents.,Leroy & Stitch
343,,Chaching,Designed to drive people crazy by making the sound of a cash register or slot machine repeatedly.,Leroy & Stitch
344,Yellow,Dupe,"A small gold monkey/lemur-like experiment with relatively flat ears, a brown-striped tail and brown-striped prehensile appendage protruding from his head. Seen in pod form in Stitch! The Movie. Designed to generate clones with the appendage on his head; however, the traits of the cloned object become divided among the original and the clones; in other words, each duplicate is not as powerful as the original. He has a reverse function that can send duplicates back into the original. His one true place is making low-fat, low-calorie ice cream cones at Luki's Shave Ice with Experiment 523 (Slushy). He is voiced by Tara Strong.","126,226,Leroy and Stitch, Stitch! The Movie"
345,Green,Elastico,"A green, furless, earless, clownish, roughly monkey-like creature with no tail, a large red round clown nose, white face and stomach, wide mouth, black eyes, neck frill, three huge tendrils on his head that resemble a jester's cap, and a purple spot on his stomach. Designed to distract enemies by performing tricks with his elastic body. He was found already activated and in his one true place: the circus.","132,207, Leroy and Stitch"
346,,Stuckup,Designed to make you stuck up and think you're better than everyone else.,Leroy & Stitch
347,Green,Slobber,Seen in pod form in Stitch! The Movie. Designed to dribble drool downward from his mouth. He is in some Disney Adventures comics (the ones where Jumba is fixing Stitch).,Stitch! The Movie
348,Yellow,Snappish,Seen in pod form in Stitch! The Movie. Designed to bite non-stop.,Stitch! The Movie
349,Purple,Lotuseater,Bonnie was called this in his episode but it was proclaimed on the Disney website that Bonnie was 149. Seen in pod form in Lilo & Stitch 2: Stitch Has a Glitch special feature the experiment profile. Designed to make people forget their worries and cares.,"Lilo & Stitch 2: Stitch Has a Glitch,125"
350,Yellow,Addly,Clyde was called this in his episode but it was proclaimed on the Disney website that Clyde was 150. Seen in pod form in Stitch! The Movie. Designed to shoot rays out of his antennae.,"125,Leroy & Stitch,Stitch! The Movie"
351,,Whoover,"Designed to almost cause bad things and then say ""Whoo, that was close"".",Leroy & Stitch
352,,Yvonne,Designed to hypnotize enemies into souls.,Leroy & Stitch
353,,Blackoutro,Designed to make you blackout.,Leroy & Stitch
